(2020-12-01 16:00:14,531) [START] Job-0 Started Execution
(2020-12-01 16:00:14,532) [INFO] Allotting task-{'task_id': '0_M0', 'duration': 4} to 4001 [SUCCESS]
(2020-12-01 16:00:16,200) [START] Job-1 Started Execution
(2020-12-01 16:00:16,200) [INFO] Allotting task-{'task_id': '1_M0', 'duration': 2} to 4001 [SUCCESS]
(2020-12-01 16:00:16,201) [INFO] Allotting task-{'task_id': '1_M1', 'duration': 3} to 4001 [SUCCESS]
(2020-12-01 16:00:17,562) [START] Job-2 Started Execution
(2020-12-01 16:00:17,563) [INFO] Allotting task-{'task_id': '2_M0', 'duration': 4} to 4000 [SUCCESS]
(2020-12-01 16:00:17,614) [START] Job-3 Started Execution
(2020-12-01 16:00:17,614) [INFO] Allotting task-{'task_id': '3_M0', 'duration': 3} to 4001 [SUCCESS]
(2020-12-01 16:00:18,321) [START] Job-4 Started Execution
(2020-12-01 16:00:18,322) [INFO] Allotting task-{'task_id': '4_M0', 'duration': 3} to 4001 [SUCCESS]
(2020-12-01 16:00:18,543) [INFO] Allotting task-{'task_id': '0_R0', 'duration': 1} to 4002 [SUCCESS]
(2020-12-01 16:00:19,210) [INFO] Allotting task-{'task_id': '1_R0', 'duration': 1} to 4002 [SUCCESS]
(2020-12-01 16:00:19,211) [INFO] Allotting task-{'task_id': '1_R1', 'duration': 1} to 4001 [SUCCESS]
(2020-12-01 16:00:19,268) [START] Job-5 Started Execution
(2020-12-01 16:00:19,269) [INFO] Allotting task-{'task_id': '5_M0', 'duration': 4} to 4000 [SUCCESS]
(2020-12-01 16:00:19,269) [INFO] Allotting task-{'task_id': '5_M1', 'duration': 2} to 4002 [SUCCESS]
(2020-12-01 16:00:19,551) [FINISH] JOB 0 Finished execution. Total duration - 5
(2020-12-01 16:00:19,590) [START] Job-6 Started Execution
(2020-12-01 16:00:19,591) [INFO] Allotting task-{'task_id': '6_M0', 'duration': 1} to 4002 [SUCCESS]
(2020-12-01 16:00:19,591) [INFO] Allotting task-{'task_id': '6_M1', 'duration': 2} to 4000 [SUCCESS]
(2020-12-01 16:00:19,768) [START] Job-7 Started Execution
(2020-12-01 16:00:19,769) [INFO] Allotting task-{'task_id': '7_M0', 'duration': 4} to 4001 [SUCCESS]
